Player,Stars,Nationality,Age,Span,Matches,Not - Out,Runs,High Score,Average,Ball Faced,Strike Rates,100,50,Ducks,4s,6s,Dismissed,Ct,St,Base Price (Cr)
MS Dhoni,9,I,42,2008-2024,264,95,5243,84*,39.12,3812,137.53,0,24,6,363,252,190,148,42,2
KD Karthik,7,I,38,2008-2024,257,50,4842,97*,26.31,3577,135.36,0,22,18,466,161,174,137,37,1.5
KL Rahul,9,I,31,2013-2024,132,20,4683,132*,45.46,3479,134.6,4,37,4,400,187,63,56,7,2
SV Samson,9,I,29,2013-2024,168,19,4419,119,30.68,3180,138.96,3,25,11,352,206,168,75,59,2
JC Buttler,10,F,33,2016-2024,107,12,3582,124,38.1,2428,147.52,7,19,7,355,161,21,20,1,2
Q de Kock,8,F,30,2013-2024,107,6,3157,140*,31.25,2352,134.22,2,23,4,316,123,107,81,65,1.5
WP Saha,5,I,39,2008-2024,170,24,2934,115*,24.24,2300,127.56,1,13,7,296,87,170,113,87,1
Ishan Kishan,7,I,25,2016-2024,105,6,2644,99,28.43,1946,135.86,0,16,8,255,119,49,44,5,1.5
N Pooran,6,F,28,2019-2024,76,18,1769,77,32.16,1090,162.29,0,9,9,112,127,18,14,4,1
JM Bairstow,8,F,34,2019-2024,50,4,1589,114,34.54,1100,144.45,2,9,3,166,69,24,20,4,1.5
H Klaasen,10,F,32,2018-2024,35,6,993,104,38.19,590,168.3,1,6,1,56,64,20,13,7,2
Prabhsimran Singh,3,I,23,2019-2024,34,0,756,103,22.23,517,146.22,1,3,3,78,41,2,2,0,0.5
JM Sharma,3,I,29,2022-2024,40,4,730,49*,22.81,483,151.13,0,0,2,53,45,28,24,4,0.5
RR Pant,9,I,26,2016-2024,111,17,3284,128*,35.31,2205,148.93,1,18,4,296,154,111,95,72,2
PD Salt,6,F,27,2023-2024,21,2,653,89*,34.36,372,175.53,0,6,3,74,34,17,17,0,1
Rahmanullah Gurbaz,4,F,23,2023-2024,13,0,289,81,22.23,216,133.8,0,2,2,24,19,15,15,0,0.5
Abishek Porel,3,I,22,2023-2024,18,2,360,65,25.71,236,152.54,0,2,1,37,15,18,6,6,0.5
Anuj Rawat,3,I,25,2021-2024,24,5,318,66,19.88,267,119.1,0,1,4,26,14,24,6,6,0.5